Company,Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
Tata Power Company Limited,25-Jul-22,231.4,233.25,229.5,232.5,231.5928332,1225952,16339,283921697,649913,53.01,3.75,1.1
Tata Power Company Limited,22-Jul-22,230.5,234,230.2,230.85,231.7735052,598857,7632,138799186,193713,32.35,3.8,0.35
Tata Power Company Limited,21-Jul-22,226.5,230.9,226.5,230,229.2703156,843403,7792,193367272,220874,26.19,4.4,3.5
Tata Power Company Limited,20-Jul-22,230,230.5,226.65,227.4,228.6154283,1222750,19870,279539515,512499,41.91,3.85,-2.6
Tata Power Company Limited,19-Jul-22,227.05,229.55,226.5,228.15,228.0665303,1074248,15845,245000014,531432,49.47,3.05,1.1
Tata Power Company Limited,18-Jul-22,226.75,228.85,225.45,227.8,225.9096654,2977442,20474,672632926,2361708,79.32,3.4,1.05
Tata Power Company Limited,15-Jul-22,221.45,226.25,221.45,225.05,222.9850259,819214,10192,182672455,264714,32.31,4.8,3.6
Tata Power Company Limited,14-Jul-22,223,223.25,219.15,221.25,221.1327709,1200225,17787,265409080,515604,42.96,4.1,-1.75
Tata Power Company Limited,13-Jul-22,222.25,223.3,219.95,220.85,221.4921168,652656,7717,144558159,127485,19.53,3.35,-1.4
Tata Power Company Limited,12-Jul-22,220.25,224.2,218.8,221.45,222.3525267,1486038,23507,330424304,531582,35.77,5.4,1.2
Tata Power Company Limited,11-Jul-22,219.25,221.85,218.2,220.8,220.7384782,1579360,24564,348625523,604479,38.27,3.65,1.55
Tata Power Company Limited,08-Jul-22,217.2,220.85,214.8,220.05,217.1265967,859912,9950,186709766,187838,21.84,6.05,2.85
Tata Power Company Limited,07-Jul-22,215.9,216.45,212.35,214.5,214.6882369,937404,11753,201249612,202187,21.57,4.1,-1.4
Tata Power Company Limited,06-Jul-22,216.1,216.1,210.1,213.95,212.4550475,774829,7849,164616332,153341,19.79,6,-2.15
Tata Power Company Limited,05-Jul-22,214.7,217.1,212,212.75,214.8236578,1766469,24862,379479332,606604,34.34,5.1,-1.95
